archive_entry,date,title,duration_min_before,disposition,action_or_reason,linked_recordings
2021-02-25-live-01,2021-02-25,牧场物语之橄榄镇与希望的大地,37,时长确实少算,订正为 200 分钟（已挂录像 BV1jh411k7ke 纯净版全长）,BV1jh411k7ke:200min/6P/dates=['2021-02-25']/mine=200
2021-02-27-live-01,2021-02-27,节奏医生,40,时长确实少算,订正为 240 分钟（已挂录像 BV1ey4y177Pi 纯净版全长）,BV1ey4y177Pi:240min/6P/dates=['2021-02-27']/mine=240
2021-02-28-live-01,2021-02-28,"【心灵砒霜】男生就是不会哭,要是会哭唧唧就灵了",244,时长正确,,BV1FK4y1D7tP:244min/10P/dates=['2021-02-28']/mine=243
2021-03-02-live-01,2021-03-02,鬼谷八荒,119,时长确实少算,订正为 308 分钟（已挂录像 BV1NK4y1D7hG 纯净版全长）,BV1NK4y1D7hG:308min/9P/dates=['2021-03-02']/mine=308
2021-03-04-live-01,2021-03-04,ALTF4,198,时长确实少算,订正为 276 分钟（已挂录像 BV1Br4y1A7TS 纯净版全长）,BV1Br4y1A7TS:276min/7P/dates=['2021-03-04']/mine=276
2021-03-05-live-01,2021-03-05,节奏医生,81,时长确实少算,订正为 256 分钟（已挂录像 BV1T5411K7Ak 纯净版全长）,BV1T5411K7Ak:256min/7P/dates=['2021-03-05']/mine=256
2021-03-06-live-01,2021-03-06,ALTF4,104,一条录像覆盖同日多条,,BV1sz4y117Bb:245min/7P/dates=['2021-03-06']/mine=245
2021-03-06-live-02,2021-03-06,节奏医生,141,一条录像覆盖同日多条,,BV1sz4y117Bb:245min/7P/dates=['2021-03-06']/mine=245
2021-03-07-live-01,2021-03-07,【心灵砒霜】有时候找朋友比找男朋友还难,273,时长正确,,BV1jy4y1E7wz:274min/13P/dates=['2021-03-07']/mine=273
2021-03-08-live-01,2021-03-08,大富翁10,176,时长确实少算,订正为 334 分钟（已挂录像 BV14y4y187SX 纯净版全长）,BV14y4y187SX:334min/10P/dates=['2021-03-08']/mine=334
2021-03-11-live-01,2021-03-11,阿尔芭与野生动物的故事,84,时长确实少算,订正为 271 分钟（已挂录像 BV1Zv411h7Am 纯净版全长）,BV1Zv411h7Am:271min/7P/dates=['2021-03-11']/mine=271
2021-03-14-live-01,2021-03-14,"【心灵砒霜】写的时候唉声叹气,优化的时候抓耳挠腮",257,时长正确,,BV11i4y1K7Lt:257min/13P/dates=['2021-03-14']/mine=257
2021-03-15-live-01,2021-03-15,Hades,179,时长确实少算,订正为 263 分钟（已挂录像 BV1uf4y1x71a 纯净版全长）,BV1uf4y1x71a:263min/7P/dates=['2021-03-15']/mine=263
2021-03-16-live-01,2021-03-16,Hades,110,时长确实少算,订正为 297 分钟（已挂录像 BV1op4y1h7GK 纯净版全长）,BV1op4y1h7GK:297min/8P/dates=['2021-03-16']/mine=297
2021-03-17-live-01,2021-03-17,Hades,71,时长确实少算,订正为 269 分钟（已挂录像 BV1ip4y1h74k 纯净版全长）,BV1ip4y1h74k:269min/8P/dates=['2021-03-17']/mine=269
2021-03-20-live-01,2021-03-20,战意,70,一条录像覆盖同日多条,,BV1av411a7Tf:297min/8P/dates=['2021-03-20']/mine=297
2021-03-20-live-02,2021-03-20,绝地求生,202,一条录像覆盖同日多条,,BV1av411a7Tf:297min/8P/dates=['2021-03-20']/mine=297
2021-03-21-live-01,2021-03-21,【心灵砒霜】优秀的主播就是会经常记笔记学习,320,时长正确,,BV1Li4y1P7SR:327min/14P/dates=['2021-03-21']/mine=327
2021-03-22-live-01,2021-03-22,末日准备狂,84,时长确实少算,订正为 279 分钟（已挂录像 BV1nZ4y1w7BA 纯净版全长）,BV1nZ4y1w7BA:279min/7P/dates=['2021-03-22']/mine=279
2021-03-25-live-01,2021-03-25,Puyo Puyo Tetris 2,42,一条录像覆盖同日多条,,BV1fK4y127wn:225min/7P/dates=['2021-03-25']/mine=225
2021-03-26-live-01,2021-03-26,怪物猎人 崛起,255,一条录像覆盖同日多条,,BV1Ty4y1b7TL:383min/11P/dates=['2021-03-26']/mine=383
2021-03-26-live-03,2021-03-26,坎公骑冠剑,128,一条录像覆盖同日多条,,BV1Ty4y1b7TL:383min/11P/dates=['2021-03-26']/mine=383
2021-03-28-live-01,2021-03-28,【心灵砒霜】女朋友跟你吵闹的原因可能就是你不知道为什么,260,时长正确,,BV1sX4y1G7V3:260min/13P/dates=['2021-03-28']/mine=260
2021-04-11-live-01,2021-04-11,【心灵砒霜】在梦里提醒自己不是上课睡觉的人,257,时长正确,,BV1dK4y1m7bD:258min/12P/dates=['2021-04-11']/mine=258
2021-04-13-live-01,2021-04-13,Genesis Noir,119,时长确实少算,订正为 298 分钟（已挂录像 BV1xU4y1h7Ed 纯净版全长）,BV1xU4y1h7Ed:298min/8P/dates=['2021-04-13']/mine=298
2021-04-18-live-01,2021-04-18,【心灵砒霜】美人胚子的意思就是距离美人还差的很远,277,时长正确,,BV1y54y1L7rk:277min/14P/dates=['2021-04-18']/mine=277
2021-04-23-live-01,2021-04-23,怪物男孩,180,时长确实少算,订正为 385 分钟（已挂录像 BV1Ef4y1p7pK 纯净版全长）,BV1Ef4y1p7pK:385min/10P/dates=['2021-04-23']/mine=385
2021-04-24-live-01,2021-04-24,怪物男孩,156,一条录像覆盖同日多条,,BV1KV411J7QP:264min/8P/dates=['2021-04-24']/mine=264
2021-04-24-live-02,2021-04-24,怪物男孩&永劫无间,107,一条录像覆盖同日多条,,BV1KV411J7QP:264min/8P/dates=['2021-04-24']/mine=264
2021-04-25-live-01,2021-04-25,"【心灵砒霜】低情商:班门弄斧,高情商:抛砖引玉",262,时长正确,,BV1Q84y1F7dc:262min/13P/dates=['2021-04-25']/mine=262
2021-04-27-live-01,2021-04-27,世界游戏大全51&坎公骑冠剑,137,时长确实少算,订正为 318 分钟（已挂录像 BV1ey4y1s75L 纯净版全长）,BV1ey4y1s75L:318min/9P/dates=['2021-04-27']/mine=318
2021-05-01-live-01,2021-05-01,世界游戏大全51,163,一条录像覆盖同日多条,,BV1i54y157hs:301min/9P/dates=['2021-05-01']/mine=301
2021-05-01-live-02,2021-05-01,超级马里欧派对,138,一条录像覆盖同日多条,,BV1i54y157hs:301min/9P/dates=['2021-05-01']/mine=301
2021-05-02-live-01,2021-05-02,【心灵砒霜】上大学的高光时刻就是金工实习做锤子,291,时长正确,,BV1C54y1j7Gd:291min/14P/dates=['2021-05-02']/mine=291
2021-05-16-live-01,2021-05-16,【心灵砒霜】之所以老是丢包是因为有人帮我拿包,249,时长正确,,BV1rA411G7S6:251min/11P/dates=['2021-05-16']/mine=251
2021-06-06-live-01,2021-06-06,"【心灵砒霜】又是一年6月6啊,6月6",252,时长正确,,BV1B64y1R7Q1:252min/12P/dates=['2021-06-06']/mine=252
2021-06-13-live-01,2021-06-13,【心灵砒霜】如何成为我喜欢的那个女孩的独家聊天对象,227,时长正确,,BV1Gg411g7Jv:227min/10P/dates=['2021-06-13']/mine=227
2021-07-04-live-01,2021-07-04,【心灵砒霜】不用儿化音说话可太难了,242,时长正确,,BV11y4y1M7Pn:242min/11P/dates=['2021-07-04']/mine=242
2021-07-11-live-01,2021-07-11,心灵砒霜,241,时长正确,,BV1fv411J7CE:241min/11P/dates=['2021-07-11']/mine=240
2021-07-25-live-01,2021-07-25,【心灵砒霜】现实就是在该认清现实的时候没有认清现实,244,时长正确,,BV1u64y1x7Y5:244min/11P/dates=['2021-07-25']/mine=244
2021-08-01-live-01,2021-08-01,【心灵砒霜】已经到了喝茶代替喝饮料的年纪了,248,时长正确,,BV1b64y1B7B9:248min/11P/dates=['2021-08-01']/mine=248
2021-08-04-live-01,2021-08-04,数独&节奏医生&上古之魂,222,一条录像覆盖同日多条,,BV13v411J7Ef:422min/12P/dates=['2021-08-04']/mine=422
2021-08-04-live-02,2021-08-04,永劫无间,200,一条录像覆盖同日多条,,BV13v411J7Ef:422min/12P/dates=['2021-08-04']/mine=422
2021-08-08-live-01,2021-08-08,【心灵砒霜】女生追女生这种事情，大家都没什么经验啊,332,时长正确,,BV1s3411z7cz:333min/13P/dates=['2021-08-08']/mine=333
2021-08-18-live-01,2021-08-18,GRIME,302,一条录像覆盖同日多条,,BV1mq4y1S7gX:455min/11P/dates=['2021-08-18']/mine=455
2021-08-18-live-02,2021-08-18,九十六号公路,154,一条录像覆盖同日多条,,BV1mq4y1S7gX:455min/11P/dates=['2021-08-18']/mine=455
2021-08-29-live-01,2021-08-29,【心灵砒霜】你要站我对面，我就得给你上课了,260,时长正确,,BV1iQ4y1h7Wo:260min/14P/dates=['2021-08-29']/mine=260
2021-09-04-live-01,2021-09-04,心灵砒霜,253,时长正确,,BV1y64y1Y7S4:253min/8P/dates=['2021-09-04']/mine=253
2021-09-12-live-01,2021-09-12,"【心灵砒霜】很多时候,你感受到的默契也只是对方的我愿意",255,时长正确,,BV1uU4y1N72x:255min/14P/dates=['2021-09-12']/mine=255
2021-10-03-live-01,2021-10-03,"【心灵砒霜】所以打麻将到底靠什么,好像也没差点啥啊",247,时长正确,,BV16P4y187Sr:248min/12P/dates=['2021-10-03']/mine=248
2021-10-17-live-02,2021-10-17,【心灵砒霜】股票这东西怎么绿了之后还绿啊,191,时长正确,,BV1Sh411b7ox:191min/10P/dates=['2021-10-17']/mine=191
2021-10-24-live-01,2021-10-24,【心灵砒霜】面对感情这东西太佛系了是不会找到对象的,282,时长正确,,BV1JQ4y1q7A9:283min/14P/dates=['2021-10-24']/mine=283
2021-10-31-live-01,2021-10-31,心灵砒霜&弹幕版,264,时长正确,,BV17q4y1V73d:264min/14P/dates=['2021-10-31']/mine=264
2021-11-14-live-01,2021-11-14,心灵砒霜 / Elden Ring 网络测试,419,时长正确,,BV19L411u7bZ:421min/17P/dates=['2021-11-14']/mine=421
2021-11-21-live-01,2021-11-21,"【心灵砒霜】题不对的时候,答案根本就不重要",251,时长正确,纯净版约 251 分钟,
2021-11-28-live-01,2021-11-28,"【心灵砒霜】当断则断不断则乱,不要顾及太多",198,多日合集·本条只占一段,,"BV1TL4y1W7Dg:331min/13P/dates=['2021-11-27', '2021-11-28']/mine=191"
2021-11-28-live-02,2021-11-28,雀圣,140,一条录像覆盖同日多条,心灵砒霜&雀圣&弹幕版 合在一条 BV，本条只占雀圣一段,"BV1TL4y1W7Dg:331min/13P/dates=['2021-11-27', '2021-11-28']/mine=191"
2021-12-05-live-01,2021-12-05,【心灵砒霜】千万不要去验证ta对你的死心塌地,258,时长正确,,BV1V44y1a7qa:259min/12P/dates=['2021-12-05']/mine=259
2021-12-09-live-02,2021-12-09,雀魂麻将,66,一条录像覆盖同日多条,,BV1WM4y1A7t9:246min/6P/dates=['2021-12-09']/mine=246
2021-12-12-live-01,2021-12-12,【心灵砒霜】为什么每一个男人都会觉得她在跟我玩真的,287,时长正确,,BV1qi4y1d7WB:287min/14P/dates=['2021-12-12']/mine=287
2021-12-24-live-01,2021-12-24,FallGuys,129,一条录像覆盖同日多条,,BV1YD4y1c7sb:357min/9P/dates=['2021-12-24']/mine=357
2021-12-24-live-02,2021-12-24,层层恐惧,227,一条录像覆盖同日多条,,BV1YD4y1c7sb:357min/9P/dates=['2021-12-24']/mine=357
2022-01-02-live-01,2022-01-02,"【心灵砒霜】人和人在沟通这件事上,不是努力就有结果的",251,源挂得对,BV1vu411U7MZ 是她本人号 01-04 投的当天砒霜片段，分P 名是投稿日,BV1vu411U7MZ:29min/1P/dates=['2022-01-04']/mine=0 ; BV1ai4y197Sn:251min/12P/dates=['2022-01-02']/mine=251
2022-01-09-live-01,2022-01-09,【心灵砒霜】爱情有时候现实的问题更多,243,时长正确,,BV1LL4y1b7fC:243min/12P/dates=['2022-01-09']/mine=243
2022-01-16-live-01,2022-01-16,"【心灵砒霜】看来喜欢的女生,身上都会发光",271,时长正确,,BV1sm4y1U7Gz:271min/14P/dates=['2022-01-16']/mine=271
2022-12-18-live-01,2022-12-18,Springblades,170,一条录像覆盖同日多条,,BV1914y1N7hX:170min/1P/dates=['2022-12-18']/mine=170 ; BV1zG411P7S8:240min/9P/dates=['2022-12-18']/mine=240
2022-12-18-live-02,2022-12-18,失眠,75,一条录像覆盖同日多条,,BV1624y1D7t2:76min/1P/dates=['2022-12-18']/mine=76 ; BV1zG411P7S8:240min/9P/dates=['2022-12-18']/mine=240
2022-12-19-live-01,2022-12-19,【2022-12-19 15点场】女流66：【今日双倍】QTE到底,120,时长确实少算,订正为 263 分钟（已挂录像 BV1wg411J7Er 纯净版全长）,BV1wg411J7Er:263min/10P/dates=['2022-12-19']/mine=263
2022-12-29-live-01,2022-12-29,【2022-12-29 15点场】女流66：烧脑解谜TIME~达芬奇3,161,时长确实少算,订正为 280 分钟（已挂录像 BV1zR4y1D7yy 纯净版全长）,BV1zR4y1D7yy:280min/10P/dates=['2022-12-29']/mine=280
2023-01-11-live-01,2023-01-11,66的心灵offer,72,一条录像覆盖同日多条,,BV1gd4y1773h:72min/1P/dates=['2023-01-11']/mine=72 ; BV1y14y1u7K8:299min/9P/dates=['2023-01-11']/mine=299
2023-01-24-live-01,2023-01-24,【2023-01-24 17点场】女流66：【钻粉2.5倍】新年快乐,120,时长确实少算,订正为 250 分钟（已挂录像 BV17R4y1h7rq 纯净版全长）,BV17R4y1h7rq:250min/8P/dates=['2023-01-24']/mine=250
2023-03-02-live-01,2023-03-02,卧龙,279,一条录像覆盖同日多条,,BV1BD4y1M7Un:279min/1P/dates=['2023-03-02']/mine=279 ; BV1484y1K7JD:439min/15P/dates=['2023-03-02']/mine=439
2023-03-02-live-02,2023-03-02,土豆兄弟,248,一条录像覆盖同日多条,,BV1BM41147so:248min/1P/dates=['2023-03-02']/mine=248 ; BV1484y1K7JD:439min/15P/dates=['2023-03-02']/mine=439
2023-03-14-live-01,2023-03-14,【2023-03-14 13点场】女流66：156277直播间,120,时长确实少算,订正为 450 分钟（已挂录像 BV1gx4y1K7yc 纯净版全长）,BV1bo4y1B77D:150min/5P/dates=['2023-03-14']/mine=150 ; BV1gx4y1K7yc:450min/2P/dates=['2023-03-14']/mine=450
2023-03-29-live-01,2023-03-29,Storyteller,120,一条录像覆盖同日多条,,BV1hN411N7dq:252min/1P/dates=['2023-03-29']/mine=252 ; BV1oX4y1R7Pu:260min/9P/dates=['2023-03-29']/mine=260 ; BV1aL411S7ie:120min/1P/dates=['2023-03-29']/mine=120
2023-04-24-live-01,2023-04-24,满庭芳：宋上繁华,112,一条录像覆盖同日多条,,BV12c411J7xT:267min/9P/dates=['2023-04-24']/mine=267 ; BV1yM4y1a7Yt:112min/1P/dates=['2023-04-24']/mine=112
2023-04-24-live-02,2023-04-24,火山的女儿,159,一条录像覆盖同日多条,,BV12c411J7xT:267min/9P/dates=['2023-04-24']/mine=267 ; BV1Vh4y1n7rc:159min/1P/dates=['2023-04-24']/mine=159
2023-05-22-live-01,2023-05-22,斗鱼高校音乐盛典,308,一条录像覆盖同日多条,,BV1Bd4y1Z77c:144min/1P/dates=['2023-05-22']/mine=144 ; BV1mo4y1G7F9:534min/15P/dates=['2023-05-22']/mine=534
2023-05-22-live-02,2023-05-22,塞尔达传说,377,一条录像覆盖同日多条,,BV1mo4y1G7F9:534min/15P/dates=['2023-05-22']/mine=534
2023-07-02-live-01,2023-07-02,潜水员戴夫,171,一条录像覆盖同日多条,,BV1wF411R7Tw:171min/1P/dates=['2023-07-02']/mine=171 ; BV1Bg4y1A7Sk:522min/17P/dates=['2023-07-02']/mine=522
2023-07-02-live-02,2023-07-02,糖豆人,238,一条录像覆盖同日多条,,BV1rh4y1M7nJ:238min/1P/dates=['2023-07-02']/mine=238 ; BV1Bg4y1A7Sk:522min/17P/dates=['2023-07-02']/mine=522
2023-07-10-live-02,2023-07-10,糖豆人,147,时长确实少算,订正为 209 分钟（已挂录像 BV1GN411U7zV 纯净版全长）,"BV1GN411U7zV:209min/7P/dates=['2023-07-10', '2023-07-11']/mine=172 ; BV1Tm4y1E7LF:145min/1P/dates=['2023-07-10']/mine=145"
2023-07-22-live-01,2023-07-22,Street Fighter,296,一条录像覆盖同日多条,,BV1eM4y1p73N:490min/16P/dates=['2023-07-22']/mine=490 ; BV1hV4y1t7zT:148min/1P/dates=['2023-07-22']/mine=148
2023-07-22-live-02,2023-07-22,遗迹2,324,一条录像覆盖同日多条,KassyTan 三段按时间戳分属当天各场,"BV1eM4y1p73N:490min/16P/dates=['2023-07-22']/mine=490 ; BV1yc411c79J:127min/1P/dates=['2023-07-22']/mine=127 ; BV1qu4y1U7A8:117min/4P/dates=['2023-07-22', '2023-07-23']/mine=64 ; BV1bh4y127Pu:96min/4P/dates=['2023-07-22']/mine=96"
2023-11-20-live-01,2023-11-20,因果动物园,172,一条录像覆盖同日多条,,BV1gw411P79y:271min/1P/dates=['2023-11-20']/mine=271
2024-12-10-live-02,2024-12-10,黑神话悟空大更新！好多人呐,345,多日合集·本条只占一段,,"BV1ErqrY2EDG:345min/6P/dates=['2024-12-10']/mine=345 ; BV12hBKY8ELa:1282min/27P/dates=['2024-12-10', '2024-12-11', '2024-12-12']/mine=334"
2024-12-11-live-02,2024-12-11,黑神话悟空大更新！进来下饭（午间场）,230,多日合集·本条只占一段,KassyTan 27P 合集覆盖 12-10～12-16,"BV12hBKY8ELa:1282min/27P/dates=['2024-12-10', '2024-12-11', '2024-12-12']/mine=456 ; BV1WkqmYgEZu:230min/4P/dates=['2024-12-11']/mine=230"
2024-12-11-live-03,2024-12-11,黑神话悟空大更新！进来下饭（晚间场）,240,多日合集·本条只占一段,同上,"BV12hBKY8ELa:1282min/27P/dates=['2024-12-10', '2024-12-11', '2024-12-12']/mine=456 ; BV1qJqQYrEgX:120min/2P/dates=['2024-12-11']/mine=120"
2024-12-12-live-02,2024-12-12,黑神话悟空大更新！进来下饭,146,多日合集·本条只占一段,,"BV12hBKY8ELa:1282min/27P/dates=['2024-12-10', '2024-12-11', '2024-12-12']/mine=146 ; BV1WGqYYeEr1:142min/3P/dates=['2024-12-12']/mine=142"
2024-12-14-live-02,2024-12-14,黑神话悟空大更新，进来下饭,88,多日合集·本条只占一段,,"BV12hBKY8ELa:1282min/27P/dates=['2024-12-10', '2024-12-11', '2024-12-12']/mine=88 ; BV1hdBLYNEaW:88min/2P/dates=['2024-12-14']/mine=88"
2024-12-15-live-02,2024-12-15,黑神话悟空大更新，挑战boss连战！,271,多日合集·本条只占一段,,"BV12hBKY8ELa:1282min/27P/dates=['2024-12-10', '2024-12-11', '2024-12-12']/mine=257 ; BV1M4qoYGERR:271min/5P/dates=['2024-12-15']/mine=271"
2025-06-24-live-01,2025-06-24,新作一起玩：死亡搁浅2 2025/06/24 11时场,279,一条录像覆盖同日多条,,BV1aYKuzVEMs:405min/8P/dates=['2025-06-24']/mine=405 ; BV1vWKuzJELx:405min/8P/dates=['2025-06-24']/mine=405 ; BV14CK3zLE6y:279min/3P/dates=['2025-06-24']/mine=279
2025-06-24-live-02,2025-06-24,新作一起玩：死亡搁浅2 2025/06/24 19时场,123,一条录像覆盖同日多条,,BV1aYKuzVEMs:405min/8P/dates=['2025-06-24']/mine=405 ; BV1vWKuzJELx:405min/8P/dates=['2025-06-24']/mine=405 ; BV1wqKGzMEP9:123min/2P/dates=['2025-06-24']/mine=123
2025-06-26-live-02,2025-06-26,新作一起玩死亡搁浅2最高难度（12时场）,305,一条录像覆盖同日多条,,BV1hvKRzzEPJ:422min/8P/dates=['2025-06-26']/mine=422 ; BV1wRKozeEUd:303min/3P/dates=['2025-06-26']/mine=303 ; BV1NSKRzFEK9:422min/8P/dates=['2025-06-26']/mine=422
2025-06-26-live-03,2025-06-26,异人之下二测我来体验体验（晚间场）,117,一条录像覆盖同日多条,,BV1hvKRzzEPJ:422min/8P/dates=['2025-06-26']/mine=422 ; BV1veKfzdEXV:116min/3P/dates=[]/mine=0 ; BV1NSKRzFEK9:422min/8P/dates=['2025-06-26']/mine=422
2025-07-24-live-01,2025-07-24,明末：渊虚之羽（18时场）,181,一条录像覆盖同日多条,整日合集含 10时场、18时场，条目 note 已写明只算 18时场,BV1mu8TzsEnX:493min/10P/dates=['2025-07-24']/mine=493 ; BV18w8TzFEV1:493min/10P/dates=['2025-07-24']/mine=493
2025-11-28-live-01,2025-11-28,江山北望：立个称霸的小目标,211,未决,不懒bot 421 分钟版本可能跨两天或含别的章节，未逐段核,BV1yhSnBxEkx:211min/4P/dates=['2025-11-28']/mine=211 ; BV1eQSEBPEuT:421min/9P/dates=[]/mine=0
2025-12-12-live-01,2025-12-12,TGA游戏颁奖典礼一起看,205,时长正确,,BV1wRmjBqEQC:206min/3P/dates=[]/mine=0 ; BV19tm5BjEHj:205min/4P/dates=['2025-12-12']/mine=205
2025-12-27-live-01,2025-12-27,燕云周年庆啦，体验下不见山新地图,244,时长正确,,BV11HByB8Evv:244min/5P/dates=[]/mine=0 ; BV1ysByBtETs:244min/10P/dates=[]/mine=0
2025-12-28-live-01,2025-12-28,燕云周年庆啦，体验下不见山新地图,164,时长正确,,BV11dvkBmEsE:163min/8P/dates=[]/mine=0 ; BV1tMvkBDE1D:164min/3P/dates=[]/mine=0
2026-01-22-live-01,2026-01-22,明日方舟终末地公测啦,188,时长正确,,BV1ucBfB3Edd:186min/11P/dates=[]/mine=0 ; BV1c7BfB8EDD:188min/4P/dates=[]/mine=0
2026-02-05-live-01,2026-02-05,乱剪一通,111,时长正确,,BV1fvFvzLEVU:111min/2P/dates=['2026-02-05']/mine=111 ; BV1WyFeznE47:111min/2P/dates=[]/mine=0
2026-02-06-live-03,2026-02-06,更新拉~燕云新地图皇宫,180,时长正确,,BV1ijFCzhEG5:180min/4P/dates=[]/mine=0 ; BV1KUF7zCE9H:180min/2P/dates=[]/mine=0
2026-02-26-live-01,2026-02-26,生化危机9最高画质首播,244,多日合集·本条只占一段,,"BV1JYAyzJErV:943min/13P/dates=['2026-02-26', '2026-02-27', '2026-02-28']/mine=244 ; BV1nxAkzjEx1:244min/5P/dates=['2026-02-26']/mine=244 ; BV13DAkzFEP5:244min/5P/dates=['2026-02-26']/mine=244"
2026-02-27-live-01,2026-02-27,生化危机9最高画质首播,421,多日合集·本条只占一段,,"BV1naA2zZESw:421min/8P/dates=['2026-02-27']/mine=421 ; BV1JYAyzJErV:943min/13P/dates=['2026-02-26', '2026-02-27', '2026-02-28']/mine=420 ; BV1o8ASzdEJ4:420min/8P/dates=[]/mine=0"
2026-02-28-live-01,2026-02-28,生化危机9最高画质首播,279,多日合集·本条只占一段,,"BV1UvAaz8EoC:279min/5P/dates=[]/mine=0 ; BV1JYAyzJErV:943min/13P/dates=['2026-02-26', '2026-02-27', '2026-02-28']/mine=279 ; BV14BAaztEUv:279min/5P/dates=['2026-02-28']/mine=279"
2026-03-21-live-02,2026-03-21,她的树：迷梦,119,时长正确,,BV1oAAAzZE9Q:119min/2P/dates=['2026-03-21']/mine=119 ; BV1QcAKzoETe:119min/3P/dates=[]/mine=0 ; BV1FfAwzaEqD:119min/2P/dates=['2026-03-21']/mine=119 ; BV1fcAAzFEsz:119min/4P/dates=[]/mine=0
2026-04-21-live-01,2026-04-21,别怕，躲我身后,247,时长正确,纯净版 247 分钟；478 分钟那条是双视角合集,BV1m3dSBWEKm:247min/5P/dates=['2026-04-21']/mine=247 ; BV1WidUBEEyB:478min/21P/dates=[]/mine=0 ; BV1gPdSBFEUt:247min/5P/dates=['2026-04-21']/mine=247 ; BV1BUdUBgE8M:247min/7P/dates=[]/mine=0
2026-05-15-live-01,2026-05-15,Subnautica2异星水域，队友壮壮yjj,222,多日合集·本条只占一段,,BV16V5i6gEd6:221min/6P/dates=[]/mine=0 ; BV1465i6QEZE:222min/4P/dates=['2026-05-15']/mine=222 ; BV1tq5i69E8R:222min/4P/dates=['2026-05-15']/mine=222 ; BV1QiLG6cErz:606min/8P/dates=[]/mine=0 ; BV1he5i6dE87:221min/5P/dates=[]/mine=0
2026-05-16-live-01,2026-05-16,Subnautica2异星水域，队友壮壮yjj,222,多日合集·本条只占一段,,BV1xtL36mErP:222min/4P/dates=['2026-05-16']/mine=222 ; BV12MLG6JEez:217min/7P/dates=[]/mine=0 ; BV1QiLG6cErz:606min/8P/dates=[]/mine=0 ; BV1arL56vE6T:222min/6P/dates=[]/mine=0 ; BV1AYL365EQ3:222min/4P/dates=[]/mine=0
2026-05-17-live-01,2026-05-17,Subnautica2异星水域，队友壮壮yjj,184,多日合集·本条只占一段,,BV1a9Lp6bESE:184min/4P/dates=['2026-05-17']/mine=184 ; BV1WDLH6kEpH:183min/5P/dates=[]/mine=0 ; BV1XGLp64EZ2:181min/5P/dates=[]/mine=0 ; BV1QiLG6cErz:606min/8P/dates=[]/mine=0 ; BV1ZCLp6KEHc:184min/4P/dates=['2026-05-17']/mine=184
2026-06-09-live-01,2026-06-09,盛世天下：女帝篇,212,多日合集·本条只占一段,,"BV1LEEm63ESk:212min/4P/dates=['2026-06-09']/mine=212 ; BV1sFEm6WEbw:212min/5P/dates=[]/mine=0 ; BV1wjEd6yE4t:898min/14P/dates=['2026-06-09', '2026-06-10', '2026-06-12']/mine=212"
2026-06-10-live-01,2026-06-10,盛世天下：女帝篇,182,多日合集·本条只占一段,,"BV1wjEd6yE4t:898min/14P/dates=['2026-06-09', '2026-06-10', '2026-06-12']/mine=173 ; BV14gEd6UErd:182min/5P/dates=[]/mine=0 ; BV16CER6TEnq:172min/15P/dates=[]/mine=0"
2026-06-12-live-01,2026-06-12,盛世天下：女帝篇,197,多日合集·本条只占一段,,"BV1wjEd6yE4t:898min/14P/dates=['2026-06-09', '2026-06-10', '2026-06-12']/mine=196 ; BV1k9J56wEVy:197min/4P/dates=['2026-06-12']/mine=197 ; BV1n7J56oELw:196min/4P/dates=[]/mine=0"
2026-06-13-live-01,2026-06-13,盛世天下：女帝篇,115,多日合集·本条只占一段,,"BV1wjEd6yE4t:898min/14P/dates=['2026-06-09', '2026-06-10', '2026-06-12']/mine=114 ; BV1QgJp6YEM7:114min/2P/dates=['2026-06-13']/mine=114 ; BV18uJp6PEDm:114min/2P/dates=['2026-06-13']/mine=114"
2026-06-14-live-01,2026-06-14,盛世天下：女帝篇,204,多日合集·本条只占一段,,"BV1wjEd6yE4t:898min/14P/dates=['2026-06-09', '2026-06-10', '2026-06-12']/mine=203 ; BV1gqJA65EZR:204min/4P/dates=['2026-06-14']/mine=204 ; BV1tBJA6kEm2:204min/4P/dates=['2026-06-14']/mine=204"
2026-06-20-live-01,2026-06-20,潜水员戴夫,318,多日合集·本条只占一段,,"BV1KGjp6HEWf:319min/7P/dates=['2026-06-20']/mine=319 ; BV1X6jp6wEvc:319min/7P/dates=['2026-06-20']/mine=319 ; BV1ohjn68E9p:318min/10P/dates=[]/mine=0 ; BV1R9jH6YEfr:840min/11P/dates=['2026-06-20', '2026-06-21', '2026-06-22']/mine=317 ; BV16Wjn6NEa7:317min/10P/dates=[]/mine=0"
2026-06-21-live-01,2026-06-21,潜水员戴夫,171,多日合集·本条只占一段,,"BV1dyjb6XEah:172min/3P/dates=['2026-06-21']/mine=172 ; BV1R9jH6YEfr:840min/11P/dates=['2026-06-20', '2026-06-21', '2026-06-22']/mine=171 ; BV1qCjb6WErM:172min/3P/dates=['2026-06-21']/mine=172 ; BV1mKj86BEHS:171min/4P/dates=[]/mine=0 ; BV1Dfjb6VEWY:171min/6P/dates=[]/mine=0"
2026-06-22-live-01,2026-06-22,潜水员戴夫,238,多日合集·本条只占一段,,"BV1mA7P6BEDe:239min/5P/dates=['2026-06-22']/mine=239 ; BV14K7P6iEk4:239min/5P/dates=['2026-06-22']/mine=239 ; BV1WJ7K6iEXV:237min/7P/dates=[]/mine=0 ; BV1R9jH6YEfr:840min/11P/dates=['2026-06-20', '2026-06-21', '2026-06-22']/mine=236 ; BV1m47A6AEYH:237min/6P/dates=[]/mine=0"
