target_id,priority,category,date,archive_entries,title,why_it_matters,existence_evidence,known_dead_links,surviving_or_recovered_sources,status_2026_09_24,best_next_lead
,P2,无任何来源,2015-09-28,2015-09-28-live-01,直播标题已遗失,,见条目 note,,,私人/网盘线索,2015-06-29 后录像：合集 pan.baidu.com/s/1eSB54I2（2017-12 重分享，已失效，ardea1347／uk 3406207715）；当年录像组逐日盘 1eQIvAOM → 1hq6NYbM → 1mgB3ucw，已失效，gijj1986／uk 3859185200。持有人联系不上，只作溯源
,P2,无任何来源,2015-09-29,2015-09-29-live-01,旅游照片未整理,,见条目 note,,,私人/网盘线索,2015-06-29 后录像：合集 pan.baidu.com/s/1eSB54I2（2017-12 重分享，已失效，ardea1347／uk 3406207715）；当年录像组逐日盘 1eQIvAOM → 1hq6NYbM → 1mgB3ucw，已失效，gijj1986／uk 3859185200。持有人联系不上，只作溯源
,P2,无任何来源,2015-10-03,2015-10-03-live-01,18888888888888888888,,见条目 note,,,私人/网盘线索,2015-06-29 后录像：合集 pan.baidu.com/s/1eSB54I2（2017-12 重分享，已失效，ardea1347／uk 3406207715）；当年录像组逐日盘 1eQIvAOM → 1hq6NYbM → 1mgB3ucw，已失效，gijj1986／uk 3859185200。持有人联系不上，只作溯源
,P2,无任何来源,2015-10-13,2015-10-13-live-01,军师很忙yo yo yo,,见条目 note,,,私人/网盘线索,2015-06-29 后录像：合集 pan.baidu.com/s/1eSB54I2（2017-12 重分享，已失效，ardea1347／uk 3406207715）；当年录像组逐日盘 1eQIvAOM → 1hq6NYbM → 1mgB3ucw，已失效，gijj1986／uk 3859185200。持有人联系不上，只作溯源
,P2,无任何来源,2015-10-15,2015-10-15-live-01,三娃子拯救世界：dropsy,,见条目 note,,,私人/网盘线索,2015-06-29 后录像：合集 pan.baidu.com/s/1eSB54I2（2017-12 重分享，已失效，ardea1347／uk 3406207715）；当年录像组逐日盘 1eQIvAOM → 1hq6NYbM → 1mgB3ucw，已失效，gijj1986／uk 3859185200。持有人联系不上，只作溯源
,P2,无任何来源,2015-10-16,2015-10-16-live-01,刚录视频迟到了,,见条目 note,,,私人/网盘线索,2015-06-29 后录像：合集 pan.baidu.com/s/1eSB54I2（2017-12 重分享，已失效，ardea1347／uk 3406207715）；当年录像组逐日盘 1eQIvAOM → 1hq6NYbM → 1mgB3ucw，已失效，gijj1986／uk 3859185200。持有人联系不上，只作溯源
,P2,无任何来源,2015-10-19,2015-10-19-live-01,以后直播间名就叫66,,见条目 note,,,私人/网盘线索,2015-06-29 后录像：合集 pan.baidu.com/s/1eSB54I2（2017-12 重分享，已失效，ardea1347／uk 3406207715）；当年录像组逐日盘 1eQIvAOM → 1hq6NYbM → 1mgB3ucw，已失效，gijj1986／uk 3859185200。持有人联系不上，只作溯源
,P2,无任何来源,2015-10-21,2015-10-21-live-01,这是一个伟大的游戏,,见条目 note,,,私人/网盘线索,2015-06-29 后录像：合集 pan.baidu.com/s/1eSB54I2（2017-12 重分享，已失效，ardea1347／uk 3406207715）；当年录像组逐日盘 1eQIvAOM → 1hq6NYbM → 1mgB3ucw，已失效，gijj1986／uk 3859185200。持有人联系不上，只作溯源
T05,P2,无任何来源,2015-10-22,2015-10-22-live-01,我的世界,,见条目 note,,,私人/网盘线索,2015-06-29 后录像：合集 pan.baidu.com/s/1eSB54I2（2017-12 重分享，已失效，ardea1347／uk 3406207715）；当年录像组逐日盘 1eQIvAOM → 1hq6NYbM → 1mgB3ucw，已失效，gijj1986／uk 3859185200。持有人联系不上，只作溯源
,P2,无任何来源,2015-11-02,2015-11-02-live-01,直播标题已遗失,,见条目 note,,,私人/网盘线索,2015-06-29 后录像：合集 pan.baidu.com/s/1eSB54I2（2017-12 重分享，已失效，ardea1347／uk 3406207715）；当年录像组逐日盘 1eQIvAOM → 1hq6NYbM → 1mgB3ucw，已失效，gijj1986／uk 3859185200。持有人联系不上，只作溯源
,P2,无任何来源,2015-11-04,2015-11-04-live-01,poly bridge更新关卡,,见条目 note,,,私人/网盘线索,2015-06-29 后录像：合集 pan.baidu.com/s/1eSB54I2（2017-12 重分享，已失效，ardea1347／uk 3406207715）；当年录像组逐日盘 1eQIvAOM → 1hq6NYbM → 1mgB3ucw，已失效，gijj1986／uk 3859185200。持有人联系不上，只作溯源
T05,P2,无任何来源,2015-11-05,2015-11-05-live-01,我的世界,,见条目 note,,,私人/网盘线索,2015-06-29 后录像：合集 pan.baidu.com/s/1eSB54I2（2017-12 重分享，已失效，ardea1347／uk 3406207715）；当年录像组逐日盘 1eQIvAOM → 1hq6NYbM → 1mgB3ucw，已失效，gijj1986／uk 3859185200。持有人联系不上，只作溯源
,P2,无任何来源,2015-11-06,2015-11-06-live-01,试玩：不机械城,,见条目 note,,,私人/网盘线索,2015-06-29 后录像：合集 pan.baidu.com/s/1eSB54I2（2017-12 重分享，已失效，ardea1347／uk 3406207715）；当年录像组逐日盘 1eQIvAOM → 1hq6NYbM → 1mgB3ucw，已失效，gijj1986／uk 3859185200。持有人联系不上，只作溯源
,P2,无任何来源,2015-11-10,2015-11-10-live-01,提醒我每天两关小象露露,,见条目 note,,,私人/网盘线索,2015-06-29 后录像：合集 pan.baidu.com/s/1eSB54I2（2017-12 重分享，已失效，ardea1347／uk 3406207715）；当年录像组逐日盘 1eQIvAOM → 1hq6NYbM → 1mgB3ucw，已失效，gijj1986／uk 3859185200。持有人联系不上，只作溯源
,P2,无任何来源,2015-11-11,2015-11-11-live-01,直播标题已遗失,,见条目 note,,,私人/网盘线索,2015-06-29 后录像：合集 pan.baidu.com/s/1eSB54I2（2017-12 重分享，已失效，ardea1347／uk 3406207715）；当年录像组逐日盘 1eQIvAOM → 1hq6NYbM → 1mgB3ucw，已失效，gijj1986／uk 3859185200。持有人联系不上，只作溯源
,P2,无任何来源,2015-11-12,2015-11-12-live-01,直播标题已遗失,,见条目 note,,,私人/网盘线索,2015-06-29 后录像：合集 pan.baidu.com/s/1eSB54I2（2017-12 重分享，已失效，ardea1347／uk 3406207715）；当年录像组逐日盘 1eQIvAOM → 1hq6NYbM → 1mgB3ucw，已失效，gijj1986／uk 3859185200。持有人联系不上，只作溯源
,P2,无任何来源,2015-11-17,2015-11-17-live-01,直播标题已遗失,,见条目 note,,,私人/网盘线索,2015-06-29 后录像：合集 pan.baidu.com/s/1eSB54I2（2017-12 重分享，已失效，ardea1347／uk 3406207715）；当年录像组逐日盘 1eQIvAOM → 1hq6NYbM → 1mgB3ucw，已失效，gijj1986／uk 3859185200。持有人联系不上，只作溯源
,P2,无任何来源,2015-11-18,2015-11-18-live-01,距离搬家结束还有十二小时,,见条目 note,,,私人/网盘线索,2015-06-29 后录像：合集 pan.baidu.com/s/1eSB54I2（2017-12 重分享，已失效，ardea1347／uk 3406207715）；当年录像组逐日盘 1eQIvAOM → 1hq6NYbM → 1mgB3ucw，已失效，gijj1986／uk 3859185200。持有人联系不上，只作溯源
,P2,无任何来源,2015-11-24,2015-11-24-live-01,士别三日当chuox,,见条目 note,,,私人/网盘线索,2015-06-29 后录像：合集 pan.baidu.com/s/1eSB54I2（2017-12 重分享，已失效，ardea1347／uk 3406207715）；当年录像组逐日盘 1eQIvAOM → 1hq6NYbM → 1mgB3ucw，已失效，gijj1986／uk 3859185200。持有人联系不上，只作溯源
,P2,无任何来源,2015-11-30,2015-11-30-live-01,聊一个小时睡觉,,见条目 note,,,私人/网盘线索,2015-06-29 后录像：合集 pan.baidu.com/s/1eSB54I2（2017-12 重分享，已失效，ardea1347／uk 3406207715）；当年录像组逐日盘 1eQIvAOM → 1hq6NYbM → 1mgB3ucw，已失效，gijj1986／uk 3859185200。持有人联系不上，只作溯源
,P2,无任何来源,2015-12-03,2015-12-03-live-01,3ds节奏天国,,见条目 note,,,私人/网盘线索,2015-06-29 后录像：合集 pan.baidu.com/s/1eSB54I2（2017-12 重分享，已失效，ardea1347／uk 3406207715）；当年录像组逐日盘 1eQIvAOM → 1hq6NYbM → 1mgB3ucw，已失效，gijj1986／uk 3859185200。持有人联系不上，只作溯源
,P2,无任何来源,2015-12-04,2015-12-04-live-01,节奏天国,,见条目 note,,,私人/网盘线索,2015-06-29 后录像：合集 pan.baidu.com/s/1eSB54I2（2017-12 重分享，已失效，ardea1347／uk 3406207715）；当年录像组逐日盘 1eQIvAOM → 1hq6NYbM → 1mgB3ucw，已失效，gijj1986／uk 3859185200。持有人联系不上，只作溯源
,P2,无任何来源,2015-12-06,2015-12-06-live-01,今天会早点下,,见条目 note,,,私人/网盘线索,2015-06-29 后录像：合集 pan.baidu.com/s/1eSB54I2（2017-12 重分享，已失效，ardea1347／uk 3406207715）；当年录像组逐日盘 1eQIvAOM → 1hq6NYbM → 1mgB3ucw，已失效，gijj1986／uk 3859185200。持有人联系不上，只作溯源
,P2,无任何来源,2015-12-08,2015-12-08-live-01,节奏天国,,见条目 note,,,私人/网盘线索,2015-06-29 后录像：合集 pan.baidu.com/s/1eSB54I2（2017-12 重分享，已失效，ardea1347／uk 3406207715）；当年录像组逐日盘 1eQIvAOM → 1hq6NYbM → 1mgB3ucw，已失效，gijj1986／uk 3859185200。持有人联系不上，只作溯源
T04,P2,来源全部失效,2015-12-11,2015-12-11-live-01,女流发姐逛故宫,,见条目 note,https://v.youku.com/v_show/id_XMTQxMDA0ODQ1Ng==.html,,来源已失效·元数据在,2015-06-29 后录像：合集 pan.baidu.com/s/1eSB54I2（2017-12 重分享，已失效，ardea1347／uk 3406207715）；当年录像组逐日盘 1eQIvAOM → 1hq6NYbM → 1mgB3ucw，已失效，gijj1986／uk 3859185200。持有人联系不上，只作溯源
,P2,无任何来源,2015-12-15,2015-12-15-live-01,路易鬼屋是个好游戏,,见条目 note,,,私人/网盘线索,2015-06-29 后录像：合集 pan.baidu.com/s/1eSB54I2（2017-12 重分享，已失效，ardea1347／uk 3406207715）；当年录像组逐日盘 1eQIvAOM → 1hq6NYbM → 1mgB3ucw，已失效，gijj1986／uk 3859185200。持有人联系不上，只作溯源
,P2,无任何来源,2015-12-17,2015-12-17-live-01,今天下午4点播,,见条目 note,,,私人/网盘线索,2015-06-29 后录像：合集 pan.baidu.com/s/1eSB54I2（2017-12 重分享，已失效，ardea1347／uk 3406207715）；当年录像组逐日盘 1eQIvAOM → 1hq6NYbM → 1mgB3ucw，已失效，gijj1986／uk 3859185200。持有人联系不上，只作溯源
,P2,无任何来源,2015-12-22,2015-12-22-live-01,Rusty lake生锈小湖12月章,,见条目 note,,,私人/网盘线索,2015-06-29 后录像：合集 pan.baidu.com/s/1eSB54I2（2017-12 重分享，已失效，ardea1347／uk 3406207715）；当年录像组逐日盘 1eQIvAOM → 1hq6NYbM → 1mgB3ucw，已失效，gijj1986／uk 3859185200。持有人联系不上，只作溯源
,P2,无任何来源,2015-12-23,2015-12-23-live-01,任天堂3ds路易鬼屋,,见条目 note,,,私人/网盘线索,2015-06-29 后录像：合集 pan.baidu.com/s/1eSB54I2（2017-12 重分享，已失效，ardea1347／uk 3406207715）；当年录像组逐日盘 1eQIvAOM → 1hq6NYbM → 1mgB3ucw，已失效，gijj1986／uk 3859185200。持有人联系不上，只作溯源
,P2,无任何来源,2015-12-25,2015-12-25-live-01,圣诞节直播（模仿各主播）,,见条目 note,,,私人/网盘线索,2015-06-29 后录像：合集 pan.baidu.com/s/1eSB54I2（2017-12 重分享，已失效，ardea1347／uk 3406207715）；当年录像组逐日盘 1eQIvAOM → 1hq6NYbM → 1mgB3ucw，已失效，gijj1986／uk 3859185200。持有人联系不上，只作溯源
,P2,无任何来源,2015-12-29,2015-12-29-live-01,直播标题已遗失,,见条目 note,,,私人/网盘线索,2015-06-29 后录像：合集 pan.baidu.com/s/1eSB54I2（2017-12 重分享，已失效，ardea1347／uk 3406207715）；当年录像组逐日盘 1eQIvAOM → 1hq6NYbM → 1mgB3ucw，已失效，gijj1986／uk 3859185200。持有人联系不上，只作溯源
T17,P3,无任何来源,2016-01-05,2016-01-05-live-01,游戏：谁是你爸爸？,,见条目 note,,,私人/网盘线索,2016 年 1 月录像网盘 pan.baidu.com/s/1o7NbxDg（2018 年导航帖，已失效，「录像师傅」的盘，gijj1986／uk 3859185200）；2016 年中的总链 1nveXrap / 1skG6ayL 同属该账号，也已失效
,P3,无任何来源,2016-01-06,2016-01-06-live-01,来吧来吧撸一棵树,,见条目 note,,,私人/网盘线索,2016 年 1 月录像网盘 pan.baidu.com/s/1o7NbxDg（2018 年导航帖，已失效，「录像师傅」的盘，gijj1986／uk 3859185200）；2016 年中的总链 1nveXrap / 1skG6ayL 同属该账号，也已失效
,P3,无任何来源,2016-01-07,2016-01-07-live-01,Besiege 12月更新版,,见条目 note,,,私人/网盘线索,2016 年 1 月录像网盘 pan.baidu.com/s/1o7NbxDg（2018 年导航帖，已失效，「录像师傅」的盘，gijj1986／uk 3859185200）；2016 年中的总链 1nveXrap / 1skG6ayL 同属该账号，也已失效
,P3,无任何来源,2016-01-08,2016-01-08-live-01,逆转裁判,,见条目 note,,,私人/网盘线索,2016 年 1 月录像网盘 pan.baidu.com/s/1o7NbxDg（2018 年导航帖，已失效，「录像师傅」的盘，gijj1986／uk 3859185200）；2016 年中的总链 1nveXrap / 1skG6ayL 同属该账号，也已失效
,P3,无任何来源,2016-01-12,2016-01-12-live-01,Poly Bridge,,见条目 note,,,私人/网盘线索,2016 年 1 月录像网盘 pan.baidu.com/s/1o7NbxDg（2018 年导航帖，已失效，「录像师傅」的盘，gijj1986／uk 3859185200）；2016 年中的总链 1nveXrap / 1skG6ayL 同属该账号，也已失效
,P3,无任何来源,2016-01-19,2016-01-19-live-01,Poly Bridge 最终关,,见条目 note,,,私人/网盘线索,2016 年 1 月录像网盘 pan.baidu.com/s/1o7NbxDg（2018 年导航帖，已失效，「录像师傅」的盘，gijj1986／uk 3859185200）；2016 年中的总链 1nveXrap / 1skG6ayL 同属该账号，也已失效
,P3,无任何来源,2016-01-22,2016-01-22-live-01,Slime Rancher,,见条目 note,,,私人/网盘线索,2016 年 1 月录像网盘 pan.baidu.com/s/1o7NbxDg（2018 年导航帖，已失效，「录像师傅」的盘，gijj1986／uk 3859185200）；2016 年中的总链 1nveXrap / 1skG6ayL 同属该账号，也已失效
,P3,无任何来源,2016-01-26,2016-01-26-live-01,Poly Bridge,,见条目 note,,,私人/网盘线索,2016 年 1 月录像网盘 pan.baidu.com/s/1o7NbxDg（2018 年导航帖，已失效，「录像师傅」的盘，gijj1986／uk 3859185200）；2016 年中的总链 1nveXrap / 1skG6ayL 同属该账号，也已失效
,P3,无任何来源,2016-01-27,2016-01-27-live-01,BOXBOY!,,见条目 note,,,私人/网盘线索,2016 年 1 月录像网盘 pan.baidu.com/s/1o7NbxDg（2018 年导航帖，已失效，「录像师傅」的盘，gijj1986／uk 3859185200）；2016 年中的总链 1nveXrap / 1skG6ayL 同属该账号，也已失效
,P3,无任何来源,2016-02-01,2016-02-01-live-01,塞尔达三角力量试水,,见条目 note,,,私人/网盘线索,2016 年 2 月录像网盘 pan.baidu.com/s/1o7NbxDg（2018 年导航帖，已失效，「录像师傅」的盘，gijj1986／uk 3859185200）；2016 年中的总链 1nveXrap / 1skG6ayL 同属该账号，也已失效
,P3,无任何来源,2016-02-17,2016-02-17-live-01,火影忍者究极风暴4,,见条目 note,,,私人/网盘线索,2016 年 2 月录像网盘 pan.baidu.com/s/1o7NbxDg（2018 年导航帖，已失效，「录像师傅」的盘，gijj1986／uk 3859185200）；2016 年中的总链 1nveXrap / 1skG6ayL 同属该账号，也已失效
,P3,无任何来源,2016-02-18,2016-02-18-live-01,火影忍者究极风暴4,,见条目 note,,,私人/网盘线索,2016 年 2 月录像网盘 pan.baidu.com/s/1o7NbxDg（2018 年导航帖，已失效，「录像师傅」的盘，gijj1986／uk 3859185200）；2016 年中的总链 1nveXrap / 1skG6ayL 同属该账号，也已失效
,P3,无任何来源,2016-02-23,2016-02-23-live-01,Minecraft 水星生存日记,,见条目 note,,,私人/网盘线索,2016 年 2 月录像网盘 pan.baidu.com/s/1o7NbxDg（2018 年导航帖，已失效，「录像师傅」的盘，gijj1986／uk 3859185200）；2016 年中的总链 1nveXrap / 1skG6ayL 同属该账号，也已失效
T07,P3,无任何来源,2016-02-24,2016-02-24-live-01,逆途更新了,,见条目 note,,,私人/网盘线索,2016 年 2 月录像网盘 pan.baidu.com/s/1o7NbxDg（2018 年导航帖，已失效，「录像师傅」的盘，gijj1986／uk 3859185200）；2016 年中的总链 1nveXrap / 1skG6ayL 同属该账号，也已失效
,P3,无任何来源,2016-02-25,2016-02-25-live-01,极地战嚎：野蛮纪源,,见条目 note,,,私人/网盘线索,2016 年 2 月录像网盘 pan.baidu.com/s/1o7NbxDg（2018 年导航帖，已失效，「录像师傅」的盘，gijj1986／uk 3859185200）；2016 年中的总链 1nveXrap / 1skG6ayL 同属该账号，也已失效
,P3,无任何来源,2016-02-26,2016-02-26-live-01,休息一下。。。。,,见条目 note,,,私人/网盘线索,2016 年 2 月录像网盘 pan.baidu.com/s/1o7NbxDg（2018 年导航帖，已失效，「录像师傅」的盘，gijj1986／uk 3859185200）；2016 年中的总链 1nveXrap / 1skG6ayL 同属该账号，也已失效
,P3,无任何来源,2016-02-28,2016-02-28-live-01,休息一下。。。。,,见条目 note,,,私人/网盘线索,2016 年 2 月录像网盘 pan.baidu.com/s/1o7NbxDg（2018 年导航帖，已失效，「录像师傅」的盘，gijj1986／uk 3859185200）；2016 年中的总链 1nveXrap / 1skG6ayL 同属该账号，也已失效
T07,P3,无任何来源,2016-03-02,2016-03-02-live-01,逆袭之星途闪耀 3月1号更新章,,见条目 note,,,私人/网盘线索,2016 年 3 月录像网盘 pan.baidu.com/s/1o7NbxDg（2018 年导航帖，已失效，「录像师傅」的盘，gijj1986／uk 3859185200）；2016 年中的总链 1nveXrap / 1skG6ayL 同属该账号，也已失效
,P3,无任何来源,2016-03-04,2016-03-04-live-01,Minecraft 1.8.8（B站 MC 主题建筑擂台赛）,,见条目 note,,,私人/网盘线索,2016 年 3 月录像网盘 pan.baidu.com/s/1o7NbxDg（2018 年导航帖，已失效，「录像师傅」的盘，gijj1986／uk 3859185200）；2016 年中的总链 1nveXrap / 1skG6ayL 同属该账号，也已失效
,P3,无任何来源,2016-04-04,2016-04-04-live-01,异星工厂 & SUPERHOT,,见条目 note,,,私人/网盘线索,2016 年 4 月录像网盘 pan.baidu.com/s/1o7NbxDg（2018 年导航帖，已失效，「录像师傅」的盘，gijj1986／uk 3859185200）；2016 年中的总链 1nveXrap / 1skG6ayL 同属该账号，也已失效
,P3,无任何来源,2016-04-05,2016-04-05-live-01,HunieCam Studio,,见条目 note,,,私人/网盘线索,2016 年 4 月录像网盘 pan.baidu.com/s/1o7NbxDg（2018 年导航帖，已失效，「录像师傅」的盘，gijj1986／uk 3859185200）；2016 年中的总链 1nveXrap / 1skG6ayL 同属该账号，也已失效
,P3,无任何来源,2016-04-06,2016-04-06-live-01,逆转裁判5,,见条目 note,,,私人/网盘线索,2016 年 4 月录像网盘 pan.baidu.com/s/1o7NbxDg（2018 年导航帖，已失效，「录像师傅」的盘，gijj1986／uk 3859185200）；2016 年中的总链 1nveXrap / 1skG6ayL 同属该账号，也已失效
,P3,无任何来源,2016-04-07,2016-04-07-live-01,逆转裁判5,,见条目 note,,,私人/网盘线索,2016 年 4 月录像网盘 pan.baidu.com/s/1o7NbxDg（2018 年导航帖，已失效，「录像师傅」的盘，gijj1986／uk 3859185200）；2016 年中的总链 1nveXrap / 1skG6ayL 同属该账号，也已失效
,P3,无任何来源,2016-04-08,2016-04-08-live-01,逆转裁判5 第二章结局,,见条目 note,,,私人/网盘线索,2016 年 4 月录像网盘 pan.baidu.com/s/1o7NbxDg（2018 年导航帖，已失效，「录像师傅」的盘，gijj1986／uk 3859185200）；2016 年中的总链 1nveXrap / 1skG6ayL 同属该账号，也已失效
,P3,无任何来源,2016-04-11,2016-04-11-live-01,传送门2,,见条目 note,,,私人/网盘线索,2016 年 4 月录像网盘 pan.baidu.com/s/1o7NbxDg（2018 年导航帖，已失效，「录像师傅」的盘，gijj1986／uk 3859185200）；2016 年中的总链 1nveXrap / 1skG6ayL 同属该账号，也已失效
,P3,无任何来源,2016-04-12,2016-04-12-live-01,锈湖：剧院（Rusty Lake Theatre）,,见条目 note,,,私人/网盘线索,2016 年 4 月录像网盘 pan.baidu.com/s/1o7NbxDg（2018 年导航帖，已失效，「录像师傅」的盘，gijj1986／uk 3859185200）；2016 年中的总链 1nveXrap / 1skG6ayL 同属该账号，也已失效
,P3,无任何来源,2016-04-18,2016-04-18-live-01,逆转裁判5（3DS）,,见条目 note,,,私人/网盘线索,2016 年 4 月录像网盘 pan.baidu.com/s/1o7NbxDg（2018 年导航帖，已失效，「录像师傅」的盘，gijj1986／uk 3859185200）；2016 年中的总链 1nveXrap / 1skG6ayL 同属该账号，也已失效
,P3,无任何来源,2016-04-19,2016-04-19-live-01,逆转裁判5,,见条目 note,,,私人/网盘线索,2016 年 4 月录像网盘 pan.baidu.com/s/1o7NbxDg（2018 年导航帖，已失效，「录像师傅」的盘，gijj1986／uk 3859185200）；2016 年中的总链 1nveXrap / 1skG6ayL 同属该账号，也已失效
,P3,无任何来源,2016-07-11,2016-07-11-live-01,黎明杀机,,见条目 note,,,私人/网盘线索,2016 年 7 月录像网盘 pan.baidu.com/s/1kVzbiRl（2018 年导航帖，已失效，「录像师傅」的盘，gijj1986／uk 3859185200）；2016 年中的总链 1nveXrap / 1skG6ayL 同属该账号，也已失效
,P3,只有片段,2016-07-27,2016-07-27-live-01,上海户外,,见条目 note,,bilibili.com（clip）,部分找回,2016 年 7 月录像网盘 pan.baidu.com/s/1kVzbiRl（2018 年导航帖，已失效，「录像师傅」的盘，gijj1986／uk 3859185200）；2016 年中的总链 1nveXrap / 1skG6ayL 同属该账号，也已失效
,P3,无任何来源,2016-10-10,2016-10-10-live-01,LISA,,见条目 note,,,私人/网盘线索,2016 年 10 月录像网盘 pan.baidu.com/s/1o85aFvs（2018 年导航帖，已失效，「录像师傅」的盘，gijj1986／uk 3859185200）；2016 年中的总链 1nveXrap / 1skG6ayL 同属该账号，也已失效
,P3,无任何来源,2016-10-11,2016-10-11-live-01,LISA,,见条目 note,,,私人/网盘线索,2016 年 10 月录像网盘 pan.baidu.com/s/1o85aFvs（2018 年导航帖，已失效，「录像师傅」的盘，gijj1986／uk 3859185200）；2016 年中的总链 1nveXrap / 1skG6ayL 同属该账号，也已失效
,P3,无任何来源,2016-12-15,2016-12-15-live-01,LISA 第三部 The Joyful,,见条目 note,,,私人/网盘线索,2016 年 12 月录像网盘 pan.baidu.com/s/1dEJpXzr（2018 年导航帖，已失效，「录像师傅」的盘，gijj1986／uk 3859185200）；2016 年中的总链 1nveXrap / 1skG6ayL 同属该账号，也已失效
,P3,无任何来源,2017-01-14,2017-01-14-live-01,返校,,见条目 note,,,私人/网盘线索,2017 录像网盘 pan.baidu.com/s/1gfHpj39 / 1boIM5nL（已失效，gijj1986／uk 3859185200；2017-03-01～15 因斗鱼原因未录）
,P3,无任何来源,2017-07-14,2017-07-14-live-01,幼儿园 Kindergarten,,见条目 note,,,私人/网盘线索,2017 录像网盘 pan.baidu.com/s/1gfHpj39 / 1boIM5nL（已失效，gijj1986／uk 3859185200；2017-03-01～15 因斗鱼原因未录）
,P3,无任何来源,2017-08-18,2017-08-18-live-01,我的世界 minecraft 1.12,,见条目 note,,,私人/网盘线索,2017 录像网盘 pan.baidu.com/s/1gfHpj39 / 1boIM5nL（已失效，gijj1986／uk 3859185200；2017-03-01～15 因斗鱼原因未录）
T11,P3,无任何来源,2018-04-14,2018-04-14-live-01,逃出生天 A Way Out,,见条目 note,,,无公开线索,2018 录像网盘 pan.baidu.com/s/1qYUievE（已失效，gijj1986／uk 3859185200；2018-08 起整体失联）
,P3,无任何来源,2018-06-02,2018-06-02-live-01,看电影,,见条目 note,,,私人/网盘线索,2018 录像网盘 pan.baidu.com/s/1qYUievE（已失效，gijj1986／uk 3859185200；2018-08 起整体失联）
T06,P3,只有片段,2018-08-10,2018-08-10-live-01,大周MC第四目：第一天,,见条目 note,,bilibili.com（clip）；bilibili.com（clip）,部分找回,2018 录像网盘 pan.baidu.com/s/1qYUievE（已失效，gijj1986／uk 3859185200；2018-08 起整体失联）
T06,P3,无任何来源,2018-08-13,2018-08-13-live-01,大周MC第四目：第三天,,见条目 note,,,私人/网盘线索,2018 录像网盘 pan.baidu.com/s/1qYUievE（已失效，gijj1986／uk 3859185200；2018-08 起整体失联）
,P3,无任何来源,2018-10-09,2018-10-09-live-01,语音直播,,见条目 note,,,私人/网盘线索,2018 录像网盘 pan.baidu.com/s/1qYUievE（已失效，gijj1986／uk 3859185200；2018-08 起整体失联）
,P3,无任何来源,2018-11-22,2018-11-22-live-01,语音直播,,见条目 note,,,私人/网盘线索,2018 录像网盘 pan.baidu.com/s/1qYUievE（已失效，gijj1986／uk 3859185200；2018-08 起整体失联）
,P4,无任何来源,2019-03-31,2019-03-31-live-01,看电影：超体、雨中曲,,见条目 note,,,无公开线索,斗鱼官方回看、其他录播号当日投稿
,P4,无任何来源,2019-07-03,2019-07-03-live-01,我的朋友佩德罗 & 风暴追逐者 & 节奏乒乓,,见条目 note,,,无公开线索,斗鱼官方回看、其他录播号当日投稿
,P4,无任何来源,2019-07-04,2019-07-04-live-01,唱歌 & 人类一败涂地 MOD & 辐射：避难所 Online,,见条目 note,,,无公开线索,斗鱼官方回看、其他录播号当日投稿
,P4,无任何来源,2019-07-05,2019-07-05-live-01,荒野潜伏者 Stay Silent VR & 百战天虫,,见条目 note,,,无公开线索,斗鱼官方回看、其他录播号当日投稿
,P4,无任何来源,2019-07-08,2019-07-08-live-01,拣爱 & 小林正雪复仇之密室,,见条目 note,,,无公开线索,斗鱼官方回看、其他录播号当日投稿
,P4,无任何来源,2019-08-28,2019-08-28-live-01,遗迹：灰烬重生,,见条目 note,,,无公开线索,斗鱼官方回看、其他录播号当日投稿
,P4,无任何来源,2021-05-24,2021-05-24-live-01,深海迷航,,见条目 note,,,无公开线索,斗鱼官方回看、其他录播号当日投稿
,P4,无任何来源,2021-06-23,2021-06-23-live-01,永劫无间,,见条目 note,,,无公开线索,斗鱼官方回看、其他录播号当日投稿
,P4,无任何来源,2021-08-11,2021-08-11-live-01,高铁站语音直播,,见条目 note,,,无公开线索,斗鱼官方回看、其他录播号当日投稿
,P4,无任何来源,2021-09-07,2021-09-07-live-01,天义镇户外,,见条目 note,,,无公开线索,斗鱼官方回看、其他录播号当日投稿
,P4,无任何来源,2021-10-08,2021-10-08-live-01,喋血复仇 Back 4 Blood,,见条目 note,,,无公开线索,斗鱼官方回看、其他录播号当日投稿
T15,P4,录像不完整,2022-08-03,2022-08-03-live-01,华语乐坛金曲回顾,,见条目 note,,bilibili.com（replay）；bilibili.com（replay）,部分找回,斗鱼官方回看、其他录播号当日投稿
,P4,无任何来源,2022-10-13,2022-10-13-live-01,Coral Island,,见条目 note,,,无公开线索,斗鱼官方回看、其他录播号当日投稿
R-youku,P2,单源风险,2010-05-09～2017-07-25,95 条（B站/A站均无镜像）,只剩 v.youku.com 一家的条目,平台下架即断链,task-037；本轮复核,,v.youku.com,在线但单源,优先找 B站/A站 镜像；至少为页面留存档快照
R-douyu,P3,单源风险,2019-06-14～2022-08-27,75 条（B站/A站均无镜像）,只剩 v.douyu.com 一家的条目,平台下架即断链,task-037；本轮复核,,v.douyu.com,在线但单源,优先找 B站/A站 镜像；至少为页面留存档快照
